id,x,y,d,st,et,mt
1,73,89,0,0,0,0
2,97,22,18,0,0,0
3,19,31,11,0,0,0
4,23,95,18,0,0,0
5,18,89,17,0,0,0
6,60,94,21,0,0,0
7,9,26,6,0,0,0
8,71,7,12,0,0,0
9,10,80,6,0,0,0
10,27,64,21,0,0,0
11,46,32,14,0,0,0
12,26,0,2,0,0,0
13,8,8,5,0,0,0
14,63,101,12,0,0,0
15,16,10,23,0,0,0
16,30,69,23,0,0,0
17,26,103,19,0,0,0
18,20,0,18,0,0,0
19,99,32,8,0,0,0
20,16,33,21,0,0,0
21,79,13,7,0,0,0
22,18,30,19,0,0,0
23,27,41,18,0,0,0
24,34,4,7,0,0,0
25,19,0,6,0,0,0
26,12,33,12,0,0,0
27,11,28,21,0,0,0
28,101,0,6,0,0,0
29,69,98,21,0,0,0
30,69,102,20,0,0,0
31,15,81,18,0,0,0
32,26,90,6,0,0,0
33,65,100,20,0,0,0
34,14,29,20,0,0,0
35,21,40,23,0,0,0
36,10,29,4,0,0,0
37,81,10,21,0,0,0
38,53,37,4,0,0,0
39,31,9,6,0,0,0
40,21,36,9,0,0,0
41,24,98,21,0,0,0
42,15,14,5,0,0,0
43,28,36,20,0,0,0
44,19,0,11,0,0,0
45,30,102,16,0,0,0
46,81,15,48,0,0,0
47,12,86,2,0,0,0
48,30,65,15,0,0,0
49,66,99,15,0,0,0
50,17,89,22,0,0,0
51,102,29,25,0,0,0
52,16,31,23,0,0,0
53,17,33,5,0,0,0
54,32,8,24,0,0,0
55,11,11,11,0,0,0
56,61,102,24,0,0,0
57,16,88,20,0,0,0
58,29,9,21,0,0,0
59,15,9,10,0,0,0
60,14,85,24,0,0,0
61,63,95,3,0,0,0
62,29,32,9,0,0,0
63,19,32,5,0,0,0
