id,x,y,d,st,et,mt
1,9,35,0,0,0,0
2,43,19,5,0,0,0
3,79,35,24,0,0,0
4,93,7,3,0,0,0
5,13,35,20,0,0,0
6,67,13,26,0,0,0
7,31,77,23,0,0,0
8,81,7,15,0,0,0
9,27,49,3,0,0,0
10,27,35,20,0,0,0
11,69,23,16,0,0,0
12,31,51,9,0,0,0
13,27,27,21,0,0,0
14,15,83,3,0,0,0
15,7,35,24,0,0,0
16,53,25,14,0,0,0
17,75,13,6,0,0,0
18,47,49,6,0,0,0
19,25,33,13,0,0,0
20,1,23,5,0,0,0
21,45,11,3,0,0,0
22,1,47,3,0,0,0
23,93,15,20,0,0,0
24,41,9,16,0,0,0
25,75,55,22,0,0,0
26,3,1,10,0,0,0
27,51,67,12,0,0,0
28,57,91,20,0,0,0
29,21,97,24,0,0,0
30,55,13,6,0,0,0
31,3,71,1,0,0,0
32,37,19,2,0,0,0
33,73,21,13,0,0,0
34,19,19,7,0,0,0
35,75,73,6,0,0,0
36,93,49,24,0,0,0
37,41,87,19,0,0,0
38,97,73,4,0,0,0
39,45,29,7,0,0,0
