id,x,y,d,st,et,mt
1,87,45,0,0,0,0
2,93,41,10,0,0,0
3,75,95,15,0,0,0
4,89,55,7,0,0,0
5,89,19,25,0,0,0
6,21,9,16,0,0,0
7,81,31,8,0,0,0
8,79,25,15,0,0,0
9,30,18,23,0,0,0
10,5,5,8,0,0,0
11,31,21,2,0,0,0
12,84,98,14,0,0,0
13,10,8,7,0,0,0
14,90,58,15,0,0,0
15,24,16,14,0,0,0
16,80,26,7,0,0,0
17,96,42,14,0,0,0
18,28,18,11,0,0,0
19,37,23,7,0,0,0
20,39,27,6,0,0,0
21,78,104,1,0,0,0
22,98,26,22,0,0,0
23,8,12,26,0,0,0
24,10,12,5,0,0,0
25,82,30,18,0,0,0
26,82,38,18,0,0,0
27,94,24,4,0,0,0
28,94,44,10,0,0,0
29,30,16,3,0,0,0
30,84,28,2,0,0,0
31,76,96,12,0,0,0
32,76,102,6,0,0,0
33,98,58,15,0,0,0
34,90,64,12,0,0,0
35,76,96,5,0,0,0
36,100,44,7,0,0,0
37,94,56,12,0,0,0
38,84,26,24,0,0,0
39,6,12,6,0,0,0
40,90,24,12,0,0,0
41,26,12,5,0,0,0
42,84,30,18,0,0,0
43,86,28,3,0,0,0
44,31,27,7,0,0,0
45,24,16,15,0,0,0
46,84,30,23,0,0,0
47,33,19,20,0,0,0
48,90,28,5,0,0,0
49,94,50,24,0,0,0
50,92,60,6,0,0,0
51,8,12,19,0,0,0
52,24,16,5,0,0,0
53,94,42,10,0,0,0
54,82,32,3,0,0,0
55,76,96,4,0,0,0
56,80,100,5,0,0,0
