id,x,y,d,st,et,mt
1,47,5,0,0,0,0
2,1,19,20,0,0,0
3,97,35,14,0,0,0
4,23,79,5,0,0,0
5,77,87,11,0,0,0
6,3,9,22,0,0,0
7,5,27,25,0,0,0
8,41,53,2,0,0,0
9,51,87,18,0,0,0
10,67,73,10,0,0,0
11,89,45,26,0,0,0
12,71,99,14,0,0,0
13,11,1,22,0,0,0
14,85,85,9,0,0,0
15,57,11,11,0,0,0
16,57,85,18,0,0,0
17,71,33,24,0,0,0
18,61,13,15,0,0,0
19,39,15,23,0,0,0
20,13,59,16,0,0,0
21,43,99,14,0,0,0
22,87,73,8,0,0,0
23,11,37,5,0,0,0
24,21,11,12,0,0,0
25,77,81,8,0,0,0
26,3,63,16,0,0,0
27,47,95,12,0,0,0
28,53,75,15,0,0,0
29,73,55,9,0,0,0
30,81,71,2,0,0,0
31,89,75,10,0,0,0
32,11,9,2,0,0,0
33,27,37,3,0,0,0
34,95,59,20,0,0,0
35,63,63,3,0,0,0
36,37,21,13,0,0,0
37,33,47,25,0,0,0
38,23,63,23,0,0,0
39,13,55,8,0,0,0
40,47,93,16,0,0,0
41,45,43,9,0,0,0
42,83,7,14,0,0,0
43,69,91,4,0,0,0
44,13,11,13,0,0,0
45,37,15,7,0,0,0
46,53,59,16,0,0,0
47,97,83,18,0,0,0
48,75,31,16,0,0,0
