id,x,y,d,st,et,mt
1,61,99,0,0,0,0
2,95,7,14,0,0,0
3,45,87,1,0,0,0
4,15,47,16,0,0,0
5,39,75,23,0,0,0
6,55,23,12,0,0,0
7,29,71,6,0,0,0
8,87,79,5,0,0,0
9,75,63,1,0,0,0
10,65,61,13,0,0,0
11,73,35,20,0,0,0
12,17,35,14,0,0,0
13,39,99,18,0,0,0
14,75,77,7,0,0,0
15,49,37,8,0,0,0
16,85,31,21,0,0,0
17,89,71,8,0,0,0
18,89,43,24,0,0,0
19,79,81,20,0,0,0
20,45,5,19,0,0,0
21,93,69,13,0,0,0
22,49,69,3,0,0,0
23,63,25,26,0,0,0
24,93,33,17,0,0,0
25,39,45,22,0,0,0
26,89,33,8,0,0,0
27,47,77,16,0,0,0
28,29,19,20,0,0,0
29,13,65,12,0,0,0
30,33,9,22,0,0,0
31,63,9,20,0,0,0
32,41,13,12,0,0,0
33,67,75,14,0,0,0
34,41,27,25,0,0,0
35,49,77,17,0,0,0
36,57,81,19,0,0,0
37,45,5,20,0,0,0
38,83,7,15,0,0,0
39,81,61,2,0,0,0
40,57,81,9,0,0,0
41,93,89,10,0,0,0
42,17,13,6,0,0,0
43,89,27,11,0,0,0
44,7,25,21,0,0,0
45,35,35,24,0,0,0
