id,x,y,d,st,et,mt
1,14,68,0,0,0,0
2,73,2,8,0,0,0
3,13,47,24,0,0,0
4,37,44,9,0,0,0
5,34,63,19,0,0,0
6,58,98,9,0,0,0
7,33,42,18,0,0,0
8,18,98,9,0,0,0
9,24,79,14,0,0,0
10,17,28,3,0,0,0
11,72,67,14,0,0,0
12,78,63,8,0,0,0
13,42,48,8,0,0,0
14,1,2,13,0,0,0
15,2,28,18,0,0,0
16,32,82,4,0,0,0
17,97,38,24,0,0,0
18,39,53,14,0,0,0
19,87,1,8,0,0,0
20,42,77,18,0,0,0
21,83,27,13,0,0,0
22,79,92,2,0,0,0
23,22,39,9,0,0,0
24,58,32,18,0,0,0
25,53,84,3,0,0,0
26,38,37,24,0,0,0
27,63,59,8,0,0,0
28,42,88,24,0,0,0
29,32,88,14,0,0,0
30,38,23,13,0,0,0
31,63,32,24,0,0,0
32,22,73,23,0,0,0
33,88,94,9,0,0,0
34,58,78,13,0,0,0
35,43,62,14,0,0,0
36,73,1,14,0,0,0
37,17,32,18,0,0,0
38,87,79,24,0,0,0
39,12,24,4,0,0,0
40,48,53,8,0,0,0
41,48,23,13,0,0,0
42,7,37,4,0,0,0
43,98,77,14,0,0,0
44,34,12,18,0,0,0
