id,x,y,d,st,et,mt
1,8,12,0,0,0,0
2,63,77,14,0,0,0
3,19,10,3,0,0,0
4,39,49,5,0,0,0
5,86,5,9,0,0,0
6,96,64,69,0,0,0
7,34,25,13,0,0,0
8,44,15,25,0,0,0
9,58,90,17,0,0,0
10,49,21,12,0,0,0
11,43,57,12,0,0,0
12,52,28,10,0,0,0
13,47,22,2,0,0,0
14,40,50,23,0,0,0
15,44,34,15,0,0,0
16,0,70,16,0,0,0
17,56,30,26,0,0,0
18,60,98,12,0,0,0
19,103,0,12,0,0,0
20,105,70,26,0,0,0
21,45,25,10,0,0,0
22,64,82,22,0,0,0
23,44,50,4,0,0,0
24,44,53,16,0,0,0
25,59,27,8,0,0,0
26,54,16,23,0,0,0
27,92,11,2,0,0,0
28,46,22,24,0,0,0
29,98,74,12,0,0,0
30,103,72,24,0,0,0
31,44,29,4,0,0,0
32,39,30,19,0,0,0
33,97,71,21,0,0,0
34,49,22,7,0,0,0
35,22,13,15,0,0,0
36,44,58,14,0,0,0
37,50,25,18,0,0,0
38,46,21,7,0,0,0
39,44,50,20,0,0,0
40,51,66,18,0,0,0
41,28,12,2,0,0,0
42,50,59,21,0,0,0
43,61,92,21,0,0,0
44,52,25,3,0,0,0
45,21,16,5,0,0,0
46,51,61,20,0,0,0
47,46,51,16,0,0,0
48,91,13,25,0,0,0
49,25,13,3,0,0,0
50,53,22,10,0,0,0
