id,x,y,d,st,et,mt
1,39,19,0,0,0,0
2,79,19,18,0,0,0
3,41,79,16,0,0,0
4,25,31,22,0,0,0
5,63,93,24,0,0,0
6,33,5,3,0,0,0
7,69,17,19,0,0,0
8,57,73,6,0,0,0
9,53,75,6,0,0,0
10,1,1,6,0,0,0
11,79,73,12,0,0,0
12,59,5,18,0,0,0
13,1,37,16,0,0,0
14,41,31,72,0,0,0
15,23,73,7,0,0,0
16,37,27,16,0,0,0
17,85,93,23,0,0,0
18,93,13,4,0,0,0
19,85,45,22,0,0,0
20,49,91,23,0,0,0
21,55,43,7,0,0,0
22,83,29,11,0,0,0
23,93,49,11,0,0,0
24,87,23,1,0,0,0
25,31,23,22,0,0,0
26,19,97,16,0,0,0
27,41,9,15,0,0,0
28,83,61,7,0,0,0
29,9,7,5,0,0,0
30,13,13,22,0,0,0
31,43,37,9,0,0,0
32,13,61,10,0,0,0
33,71,51,11,0,0,0
34,45,93,9,0,0,0
35,93,55,3,0,0,0
36,5,97,7,0,0,0
37,81,11,15,0,0,0
38,7,53,10,0,0,0
39,7,41,2,0,0,0
