id,x,y,d,st,et,mt
1,75,55,0,0,0,0
2,7,75,12,0,0,0
3,77,1,26,0,0,0
4,51,25,1,0,0,0
5,81,25,20,0,0,0
6,59,37,2,0,0,0
7,93,45,13,0,0,0
8,43,21,20,0,0,0
9,35,53,7,0,0,0
10,77,63,10,0,0,0
11,37,13,15,0,0,0
12,37,51,7,0,0,0
13,27,31,24,0,0,0
14,95,31,10,0,0,0
15,87,43,12,0,0,0
16,23,65,23,0,0,0
17,9,51,13,0,0,0
18,73,81,19,0,0,0
19,3,1,9,0,0,0
20,41,61,12,0,0,0
21,29,81,6,0,0,0
22,51,95,9,0,0,0
23,49,25,22,0,0,0
24,81,53,18,0,0,0
25,7,51,19,0,0,0
26,21,5,20,0,0,0
27,91,35,24,0,0,0
28,17,81,10,0,0,0
29,61,69,4,0,0,0
30,27,97,20,0,0,0
31,83,23,15,0,0,0
32,21,93,13,0,0,0
33,59,31,12,0,0,0
34,27,53,3,0,0,0
35,9,91,7,0,0,0
36,11,27,18,0,0,0
37,59,41,3,0,0,0
38,67,1,23,0,0,0
39,77,39,1,0,0,0
40,47,29,17,0,0,0
41,3,89,13,0,0,0
42,33,87,6,0,0,0
43,17,45,22,0,0,0
44,91,41,20,0,0,0
45,23,3,21,0,0,0
46,97,61,2,0,0,0
