id,x,y,d,st,et,mt
1,53,22,0,0,0,0
2,34,28,1,0,0,0
3,2,5,19,0,0,0
4,40,85,19,0,0,0
5,88,38,22,0,0,0
6,74,20,20,0,0,0
7,82,21,11,0,0,0
8,0,46,2,0,0,0
9,84,31,5,0,0,0
10,11,12,20,0,0,0
11,42,37,22,0,0,0
12,90,44,2,0,0,0
13,85,22,2,0,0,0
14,9,8,11,0,0,0
15,4,51,22,0,0,0
16,3,10,19,0,0,0
17,90,40,3,0,0,0
18,41,33,1,0,0,0
19,10,50,2,0,0,0
20,96,45,16,0,0,0
21,48,90,2,0,0,0
22,87,31,13,0,0,0
23,79,26,7,0,0,0
24,39,32,8,0,0,0
25,0,91,16,0,0,0
26,89,45,14,0,0,0
27,91,46,4,0,0,0
28,3,53,14,0,0,0
29,44,0,7,0,0,0
30,89,41,20,0,0,0
31,40,32,14,0,0,0
32,42,86,7,0,0,0
33,0,13,9,0,0,0
34,97,45,7,0,0,0
35,1,50,5,0,0,0
36,45,94,10,0,0,0
37,36,33,13,0,0,0
38,4,15,25,0,0,0
39,42,88,1,0,0,0
40,42,29,22,0,0,0
41,92,0,9,0,0,0
42,75,26,3,0,0,0
43,78,0,8,0,0,0
44,77,29,10,0,0,0
45,5,47,19,0,0,0
