id,x,y,d,st,et,mt
1,2,48,0,0,0,0
2,64,71,26,0,0,0
3,33,83,18,0,0,0
4,77,89,16,0,0,0
5,96,61,8,0,0,0
6,53,55,7,0,0,0
7,38,10,11,0,0,0
8,7,40,4,0,0,0
9,7,1,9,0,0,0
10,73,68,9,0,0,0
11,4,24,16,0,0,0
12,82,56,7,0,0,0
13,30,56,6,0,0,0
14,38,62,1,0,0,0
15,42,53,2,0,0,0
16,5,49,22,0,0,0
17,1,85,23,0,0,0
18,94,4,4,0,0,0
19,50,70,3,0,0,0
20,35,69,20,0,0,0
21,14,41,7,0,0,0
22,94,73,1,0,0,0
23,23,96,2,0,0,0
24,96,88,12,0,0,0
25,74,94,22,0,0,0
26,68,52,6,0,0,0
27,73,22,11,0,0,0
28,92,96,12,0,0,0
29,4,48,2,0,0,0
30,24,10,14,0,0,0
31,52,72,14,0,0,0
32,61,46,2,0,0,0
33,38,9,9,0,0,0
34,90,15,20,0,0,0
35,58,41,2,0,0,0
36,93,41,18,0,0,0
37,8,74,19,0,0,0
38,13,87,18,0,0,0
39,34,68,4,0,0,0
40,84,97,16,0,0,0
41,35,20,26,0,0,0
42,96,79,3,0,0,0
43,73,87,23,0,0,0
44,21,1,16,0,0,0
45,28,93,10,0,0,0
46,55,94,9,0,0,0
47,56,84,21,0,0,0
48,68,99,24,0,0,0
49,30,53,24,0,0,0
50,85,49,19,0,0,0
51,85,2,12,0,0,0
52,0,30,16,0,0,0
53,12,71,6,0,0,0
54,26,55,2,0,0,0
55,72,75,2,0,0,0
56,71,21,2,0,0,0
57,33,49,23,0,0,0
58,51,2,16,0,0,0
59,93,7,26,0,0,0
60,70,22,21,0,0,0
61,54,53,2,0,0,0
62,26,17,7,0,0,0
