id,x,y,d,st,et,mt
1,82,76,0,0,0,0
2,96,44,19,0,0,0
3,50,5,21,0,0,0
4,49,8,6,0,0,0
5,13,7,19,0,0,0
6,29,89,7,0,0,0
7,58,30,12,0,0,0
8,84,39,16,0,0,0
9,14,24,6,0,0,0
10,2,39,16,0,0,0
11,3,82,8,0,0,0
12,5,10,14,0,0,0
13,98,52,21,0,0,0
14,84,25,16,0,0,0
15,61,59,3,0,0,0
16,1,65,22,0,0,0
17,88,51,18,0,0,0
18,91,2,19,0,0,0
19,19,32,1,0,0,0
20,93,3,24,0,0,0
21,50,93,8,0,0,0
22,98,14,12,0,0,0
23,5,42,4,0,0,0
24,42,9,8,0,0,0
25,61,62,24,0,0,0
26,9,97,24,0,0,0
27,80,55,2,0,0,0
28,57,69,20,0,0,0
29,23,15,15,0,0,0
30,20,70,2,0,0,0
31,85,60,14,0,0,0
32,98,5,9,0,0,0
