id,x,y,d,st,et,mt
1,29,33,0,0,0,0
2,41,11,22,0,0,0
3,31,87,8,0,0,0
4,91,27,3,0,0,0
5,53,87,6,0,0,0
6,7,19,10,0,0,0
7,27,19,18,0,0,0
8,1,41,8,0,0,0
9,8,20,13,0,0,0
10,40,92,13,0,0,0
11,14,20,3,0,0,0
12,92,32,10,0,0,0
13,62,94,6,0,0,0
14,45,97,23,0,0,0
15,96,36,8,0,0,0
16,47,101,4,0,0,0
17,40,92,13,0,0,0
18,49,97,6,0,0,0
19,48,12,5,0,0,0
20,45,101,10,0,0,0
21,46,16,22,0,0,0
22,92,34,13,0,0,0
23,49,95,13,0,0,0
24,62,92,18,0,0,0
25,96,28,14,0,0,0
26,28,22,14,0,0,0
27,47,95,26,0,0,0
28,9,21,23,0,0,0
29,92,30,4,0,0,0
30,12,22,25,0,0,0
31,48,12,9,0,0,0
32,94,28,8,0,0,0
33,43,99,16,0,0,0
34,8,42,3,0,0,0
35,43,99,1,0,0,0
36,8,42,17,0,0,0
37,30,20,9,0,0,0
38,16,24,15,0,0,0
39,36,92,2,0,0,0
40,98,34,19,0,0,0
41,36,28,7,0,0,0
42,28,26,6,0,0,0
43,42,18,22,0,0,0
44,2,50,22,0,0,0
45,16,20,10,0,0,0
46,56,90,7,0,0,0
47,45,97,4,0,0,0
48,17,23,23,0,0,0
49,34,88,13,0,0,0
50,47,99,10,0,0,0
51,62,96,8,0,0,0
52,8,24,14,0,0,0
