id,x,y,d,st,et,mt
1,49,53,0,0,0,0
2,59,1,21,0,0,0
3,17,83,8,0,0,0
4,85,57,11,0,0,0
5,47,21,7,0,0,0
6,1,21,21,0,0,0
7,25,69,5,0,0,0
8,75,63,13,0,0,0
9,3,7,10,0,0,0
10,56,26,9,0,0,0
11,86,58,20,0,0,0
12,8,8,7,0,0,0
13,59,27,12,0,0,0
14,64,2,23,0,0,0
15,86,64,2,0,0,0
16,28,72,4,0,0,0
17,88,58,14,0,0,0
18,18,90,12,0,0,0
19,82,64,3,0,0,0
20,22,92,5,0,0,0
21,6,10,13,0,0,0
22,10,24,5,0,0,0
23,59,29,12,0,0,0
24,52,24,2,0,0,0
25,94,62,3,0,0,0
26,76,68,18,0,0,0
27,66,2,24,0,0,0
28,90,58,4,0,0,0
29,20,84,63,0,0,0
30,50,22,19,0,0,0
31,76,64,2,0,0,0
32,63,33,9,0,0,0
33,20,84,4,0,0,0
34,59,31,9,0,0,0
35,32,74,23,0,0,0
36,48,24,6,0,0,0
37,2,30,3,0,0,0
38,10,8,12,0,0,0
39,57,27,7,0,0,0
40,68,6,17,0,0,0
41,28,74,22,0,0,0
42,63,35,26,0,0,0
43,86,58,14,0,0,0
44,90,62,9,0,0,0
45,22,90,2,0,0,0
46,6,28,16,0,0,0
47,62,8,24,0,0,0
48,59,35,4,0,0,0
49,18,88,19,0,0,0
50,30,76,11,0,0,0
