id,x,y,d,st,et,mt
1,49,64,0,0,0,0
2,60,38,21,0,0,0
3,38,21,13,0,0,0
4,98,27,24,0,0,0
5,69,60,10,0,0,0
6,59,40,22,0,0,0
7,82,28,16,0,0,0
8,86,36,9,0,0,0
9,76,65,9,0,0,0
10,102,29,18,0,0,0
11,43,26,15,0,0,0
12,45,28,3,0,0,0
13,76,68,7,0,0,0
14,64,45,14,0,0,0
15,0,44,22,0,0,0
16,89,31,10,0,0,0
17,60,44,13,0,0,0
18,0,44,3,0,0,0
19,84,29,4,0,0,0
20,83,66,14,0,0,0
21,86,36,2,0,0,0
22,103,32,16,0,0,0
23,76,65,10,0,0,0
24,86,74,5,0,0,0
25,0,48,11,0,0,0
26,66,41,19,0,0,0
27,67,40,14,0,0,0
28,77,61,18,0,0,0
29,78,66,12,0,0,0
30,66,46,21,0,0,0
31,61,41,21,0,0,0
32,105,31,24,0,0,0
33,78,68,6,0,0,0
34,91,37,7,0,0,0
35,83,29,13,0,0,0
36,91,45,15,0,0,0
37,42,25,5,0,0,0
38,83,69,10,0,0,0
39,101,36,19,0,0,0
40,74,65,6,0,0,0
41,93,37,21,0,0,0
42,107,34,19,0,0,0
43,63,40,17,0,0,0
44,61,47,26,0,0,0
45,90,43,8,0,0,0
