id,x,y,d,st,et,mt
1,58,90,0,0,0,0
2,5,66,12,0,0,0
3,34,98,12,0,0,0
4,93,17,10,0,0,0
5,23,67,2,0,0,0
6,71,91,23,0,0,0
7,20,39,15,0,0,0
8,20,86,16,0,0,0
9,7,99,26,0,0,0
10,72,78,12,0,0,0
11,27,90,12,0,0,0
12,14,72,26,0,0,0
13,72,101,10,0,0,0
14,72,96,22,0,0,0
15,19,73,4,0,0,0
16,76,95,16,0,0,0
17,30,92,8,0,0,0
18,30,87,23,0,0,0
19,40,104,2,0,0,0
20,7,73,24,0,0,0
21,7,76,12,0,0,0
22,79,86,24,0,0,0
23,82,105,4,0,0,0
24,12,104,19,0,0,0
25,21,93,21,0,0,0
26,77,85,7,0,0,0
27,37,101,15,0,0,0
28,28,91,14,0,0,0
29,72,95,18,0,0,0
30,22,92,7,0,0,0
31,98,18,20,0,0,0
32,42,107,18,0,0,0
33,16,101,2,0,0,0
34,41,100,21,0,0,0
35,23,41,21,0,0,0
36,8,70,3,0,0,0
37,22,45,5,0,0,0
38,15,103,20,0,0,0
39,27,88,16,0,0,0
40,25,47,25,0,0,0
41,26,42,3,0,0,0
42,29,93,10,0,0,0
43,25,45,18,0,0,0
44,29,91,4,0,0,0
45,26,44,14,0,0,0
46,78,109,6,0,0,0
47,27,69,13,0,0,0
48,40,99,25,0,0,0
49,74,81,17,0,0,0
50,8,69,15,0,0,0
51,18,74,19,0,0,0
52,24,96,21,0,0,0
53,82,107,15,0,0,0
54,27,46,25,0,0,0
55,81,95,7,0,0,0
56,79,95,4,0,0,0
57,76,95,16,0,0,0
58,97,19,24,0,0,0
59,74,98,16,0,0,0
60,21,94,10,0,0,0
61,40,0,15,0,0,0
62,100,23,14,0,0,0
63,99,24,14,0,0,0
64,73,85,2,0,0,0
65,26,40,1,0,0,0
66,16,103,9,0,0,0
67,33,94,3,0,0,0
