id,x,y,d,st,et,mt
1,17,76,0,0,0,0
2,24,6,25,0,0,0
3,96,29,3,0,0,0
4,14,19,13,0,0,0
5,14,32,17,0,0,0
6,0,34,16,0,0,0
7,16,22,9,0,0,0
8,20,26,22,0,0,0
9,22,28,10,0,0,0
10,17,23,16,0,0,0
11,98,30,8,0,0,0
12,30,8,3,0,0,0
13,23,27,16,0,0,0
14,19,23,16,0,0,0
15,34,7,10,0,0,0
16,31,7,24,0,0,0
17,0,37,16,0,0,0
18,19,23,15,0,0,0
19,0,36,14,0,0,0
20,26,7,5,0,0,0
21,98,32,12,0,0,0
22,5,40,2,0,0,0
23,17,26,18,0,0,0
24,21,26,20,0,0,0
25,28,8,15,0,0,0
26,1,35,8,0,0,0
27,27,28,22,0,0,0
28,99,30,15,0,0,0
29,26,28,10,0,0,0
30,17,29,13,0,0,0
31,20,26,19,0,0,0
