id,x,y,d,st,et,mt
1,31,73,0,0,0,0
2,11,67,19,0,0,0
3,52,96,2,0,0,0
4,81,29,12,0,0,0
5,97,62,20,0,0,0
6,71,5,6,0,0,0
7,6,56,17,0,0,0
8,48,50,8,0,0,0
9,91,17,14,0,0,0
10,49,68,2,0,0,0
11,85,29,8,0,0,0
12,11,16,5,0,0,0
13,74,98,7,0,0,0
14,56,37,22,0,0,0
15,13,81,14,0,0,0
16,66,80,17,0,0,0
17,96,55,23,0,0,0
18,36,17,15,0,0,0
19,32,23,21,0,0,0
20,6,13,2,0,0,0
21,64,30,24,0,0,0
22,87,5,10,0,0,0
23,75,61,20,0,0,0
24,40,72,6,0,0,0
25,1,44,21,0,0,0
26,60,95,10,0,0,0
27,27,49,6,0,0,0
28,15,33,13,0,0,0
29,46,53,21,0,0,0
30,28,43,24,0,0,0
31,3,9,11,0,0,0
32,1,100,16,0,0,0
33,53,46,8,0,0,0
34,98,8,11,0,0,0
35,6,25,11,0,0,0
36,7,81,22,0,0,0
37,96,88,17,0,0,0
38,2,35,22,0,0,0
39,32,94,17,0,0,0
40,95,94,8,0,0,0
41,9,11,23,0,0,0
42,96,16,5,0,0,0
43,90,68,3,0,0,0
44,33,31,18,0,0,0
45,6,59,12,0,0,0
