id,x,y,d,st,et,mt
1,27,93,0,0,0,0
2,33,27,16,0,0,0
3,29,39,2,0,0,0
4,7,81,7,0,0,0
5,1,59,11,0,0,0
6,49,9,9,0,0,0
7,21,53,17,0,0,0
8,79,89,21,0,0,0
9,81,83,23,0,0,0
10,85,11,10,0,0,0
11,45,9,6,0,0,0
12,7,65,19,0,0,0
13,95,27,18,0,0,0
14,81,85,20,0,0,0
15,37,81,13,0,0,0
16,69,69,5,0,0,0
17,15,95,11,0,0,0
18,89,75,24,0,0,0
19,33,93,2,0,0,0
20,57,83,3,0,0,0
21,11,95,1,0,0,0
22,3,57,5,0,0,0
23,45,11,20,0,0,0
24,43,61,23,0,0,0
25,35,43,24,0,0,0
26,19,83,18,0,0,0
27,83,69,19,0,0,0
28,85,77,2,0,0,0
29,19,39,17,0,0,0
30,83,87,17,0,0,0
31,1,13,9,0,0,0
32,15,39,11,0,0,0
33,83,17,2,0,0,0
34,41,97,6,0,0,0
35,31,61,9,0,0,0
36,59,69,5,0,0,0
37,29,15,9,0,0,0
38,93,83,2,0,0,0
39,63,97,14,0,0,0
40,65,57,19,0,0,0
41,15,69,11,0,0,0
42,31,97,21,0,0,0
43,57,9,20,0,0,0
44,85,37,21,0,0,0
45,21,29,18,0,0,0
46,53,11,48,0,0,0
47,15,77,1,0,0,0
48,41,69,17,0,0,0
49,45,17,42,0,0,0
50,13,25,2,0,0,0
51,63,57,4,0,0,0
52,95,5,24,0,0,0
53,55,91,18,0,0,0
54,3,31,21,0,0,0
55,47,7,11,0,0,0
56,61,69,9,0,0,0
57,85,35,18,0,0,0
58,89,81,22,0,0,0
59,45,47,9,0,0,0
60,65,93,23,0,0,0
