id,x,y,d,st,et,mt
1,97,33,0,0,0,0
2,57,81,10,0,0,0
3,1,33,15,0,0,0
4,55,57,23,0,0,0
5,29,37,23,0,0,0
6,21,39,24,0,0,0
7,93,37,17,0,0,0
8,5,91,1,0,0,0
9,25,11,4,0,0,0
10,47,37,2,0,0,0
11,87,25,5,0,0,0
12,67,65,18,0,0,0
13,71,89,9,0,0,0
14,67,15,8,0,0,0
15,45,79,23,0,0,0
16,71,57,13,0,0,0
17,29,1,4,0,0,0
18,59,79,18,0,0,0
19,93,83,16,0,0,0
20,47,41,26,0,0,0
21,51,41,16,0,0,0
22,23,93,4,0,0,0
23,87,95,23,0,0,0
24,39,45,8,0,0,0
25,45,7,26,0,0,0
26,85,51,16,0,0,0
27,35,93,5,0,0,0
28,47,79,2,0,0,0
29,59,91,21,0,0,0
30,83,51,23,0,0,0
31,49,65,8,0,0,0
32,21,55,5,0,0,0
33,51,21,8,0,0,0
34,69,43,26,0,0,0
35,37,41,12,0,0,0
36,37,95,8,0,0,0
37,5,71,3,0,0,0
38,37,47,8,0,0,0
39,83,73,19,0,0,0
40,17,71,16,0,0,0
41,5,71,2,0,0,0
42,81,17,3,0,0,0
43,59,33,17,0,0,0
44,63,87,7,0,0,0
45,21,77,5,0,0,0
46,71,51,8,0,0,0
47,21,17,4,0,0,0
48,9,7,12,0,0,0
49,65,43,19,0,0,0
50,25,63,19,0,0,0
51,13,57,26,0,0,0
52,47,43,24,0,0,0
53,77,9,5,0,0,0
54,57,55,8,0,0,0
55,21,33,22,0,0,0
56,27,59,9,0,0,0
57,83,9,18,0,0,0
58,63,69,19,0,0,0
59,9,35,15,0,0,0
60,25,55,5,0,0,0
61,33,3,11,0,0,0
62,53,11,12,0,0,0
63,51,49,54,0,0,0
64,9,23,8,0,0,0
