id,x,y,d,st,et,mt
1,38,46,0,0,0,0
2,59,46,16,0,0,0
3,96,42,18,0,0,0
4,47,61,1,0,0,0
5,26,15,13,0,0,0
6,66,6,8,0,0,0
7,96,7,23,0,0,0
8,37,25,7,0,0,0
9,68,92,27,0,0,0
10,78,84,1,0,0,0
11,82,28,3,0,0,0
12,93,90,6,0,0,0
13,74,42,24,0,0,0
14,60,20,19,0,0,0
15,78,58,2,0,0,0
16,36,48,5,0,0,0
17,45,36,16,0,0,0
18,73,57,7,0,0,0
19,10,91,4,0,0,0
20,98,51,22,0,0,0
21,92,62,7,0,0,0
22,43,42,23,0,0,0
23,53,25,16,0,0,0
24,78,65,2,0,0,0
25,72,79,2,0,0,0
26,37,88,9,0,0,0
27,16,73,2,0,0,0
28,75,96,12,0,0,0
29,11,66,1,0,0,0
30,9,49,9,0,0,0
31,25,72,23,0,0,0
32,8,68,6,0,0,0
33,12,61,19,0,0,0
34,50,2,7,0,0,0
35,26,54,7,0,0,0
36,18,89,20,0,0,0
37,22,53,20,0,0,0
