id,x,y,d,st,et,mt
1,69,63,0,0,0,0
2,3,35,12,0,0,0
3,71,79,5,0,0,0
4,1,47,8,0,0,0
5,11,15,12,0,0,0
6,87,23,18,0,0,0
7,37,33,12,0,0,0
8,87,29,11,0,0,0
9,35,81,19,0,0,0
10,55,71,23,0,0,0
11,41,51,8,0,0,0
12,93,9,25,0,0,0
13,11,49,1,0,0,0
14,75,89,5,0,0,0
15,75,69,17,0,0,0
16,97,95,13,0,0,0
17,15,13,9,0,0,0
18,63,95,13,0,0,0
19,47,41,19,0,0,0
20,45,41,5,0,0,0
21,89,43,26,0,0,0
22,45,59,9,0,0,0
23,95,23,20,0,0,0
24,19,83,21,0,0,0
25,71,69,8,0,0,0
26,27,19,12,0,0,0
27,17,57,13,0,0,0
28,93,15,12,0,0,0
29,59,29,4,0,0,0
30,35,39,19,0,0,0
31,33,51,25,0,0,0
32,61,21,7,0,0,0
33,89,53,3,0,0,0
34,33,85,2,0,0,0
35,37,37,24,0,0,0
36,21,91,13,0,0,0
37,67,95,14,0,0,0
38,61,15,14,0,0,0
