id,x,y,d,st,et,mt
1,36,64,0,0,0,0
2,94,47,3,0,0,0
3,10,23,12,0,0,0
4,16,46,25,0,0,0
5,25,79,4,0,0,0
6,41,30,11,0,0,0
7,81,45,20,0,0,0
8,14,79,21,0,0,0
9,42,56,10,0,0,0
10,90,17,20,0,0,0
11,41,39,13,0,0,0
12,21,14,14,0,0,0
13,41,46,16,0,0,0
14,65,96,17,0,0,0
15,13,49,11,0,0,0
16,21,14,36,0,0,0
17,57,2,6,0,0,0
18,14,42,7,0,0,0
19,66,62,21,0,0,0
20,58,96,11,0,0,0
21,5,51,17,0,0,0
22,41,50,22,0,0,0
23,50,99,10,0,0,0
24,84,85,19,0,0,0
25,97,90,21,0,0,0
26,47,76,23,0,0,0
27,11,54,19,0,0,0
28,60,97,15,0,0,0
29,60,89,22,0,0,0
30,58,68,7,0,0,0
31,30,93,11,0,0,0
32,9,60,15,0,0,0
33,47,44,22,0,0,0
34,19,40,12,0,0,0
35,15,40,24,0,0,0
36,88,21,25,0,0,0
37,33,58,2,0,0,0
38,21,51,15,0,0,0
39,57,7,18,0,0,0
40,81,6,13,0,0,0
41,49,6,3,0,0,0
42,51,78,20,0,0,0
43,9,62,14,0,0,0
44,84,36,10,0,0,0
45,95,76,10,0,0,0
46,89,44,66,0,0,0
47,10,49,10,0,0,0
48,69,16,7,0,0,0
49,75,66,12,0,0,0
50,97,11,24,0,0,0
51,74,69,5,0,0,0
52,1,14,18,0,0,0
53,96,91,7,0,0,0
54,46,22,11,0,0,0
55,74,92,12,0,0,0
