id,x,y,d,st,et,mt
1,91,93,0,0,0,0
2,7,5,4,0,0,0
3,27,91,18,0,0,0
4,21,47,22,0,0,0
5,33,11,14,0,0,0
6,19,99,5,0,0,0
7,59,25,9,0,0,0
8,69,79,7,0,0,0
9,11,73,20,0,0,0
10,21,35,19,0,0,0
11,59,45,7,0,0,0
12,99,81,18,0,0,0
13,71,47,20,0,0,0
14,53,83,2,0,0,0
15,87,1,11,0,0,0
16,79,67,10,0,0,0
17,59,65,5,0,0,0
18,67,21,21,0,0,0
19,27,1,20,0,0,0
20,81,93,1,0,0,0
21,59,89,15,0,0,0
22,95,23,15,0,0,0
23,73,25,14,0,0,0
24,41,25,19,0,0,0
25,3,65,22,0,0,0
26,59,83,21,0,0,0
27,83,97,22,0,0,0
28,5,83,6,0,0,0
29,71,35,24,0,0,0
30,37,97,14,0,0,0
31,29,93,14,0,0,0
32,19,21,2,0,0,0
33,83,13,15,0,0,0
34,97,67,21,0,0,0
35,31,83,15,0,0,0
36,65,17,6,0,0,0
37,19,63,23,0,0,0
38,59,23,14,0,0,0
39,17,25,26,0,0,0
40,45,27,15,0,0,0
41,89,7,15,0,0,0
42,19,41,23,0,0,0
43,23,39,7,0,0,0
44,23,21,22,0,0,0
45,83,61,26,0,0,0
46,11,93,20,0,0,0
47,17,11,3,0,0,0
48,35,11,2,0,0,0
49,21,59,15,0,0,0
50,21,69,2,0,0,0
51,71,13,21,0,0,0
52,63,13,12,0,0,0
53,49,21,4,0,0,0
54,83,31,10,0,0,0
55,41,97,23,0,0,0
56,85,15,4,0,0,0
57,77,73,24,0,0,0
58,57,1,17,0,0,0
59,83,11,2,0,0,0
60,1,75,20,0,0,0
61,45,71,18,0,0,0
62,41,55,19,0,0,0
63,45,13,8,0,0,0
