id,x,y,d,st,et,mt
1,34,31,0,0,0,0
2,45,55,26,0,0,0
3,70,80,17,0,0,0
4,81,70,6,0,0,0
5,85,61,15,0,0,0
6,59,55,7,0,0,0
7,45,60,5,0,0,0
8,50,64,15,0,0,0
9,80,64,16,0,0,0
10,75,90,17,0,0,0
11,25,40,1,0,0,0
12,9,66,21,0,0,0
13,1,44,66,0,0,0
14,50,54,25,0,0,0
15,35,45,16,0,0,0
16,71,84,11,0,0,0
17,1,9,7,0,0,0
18,25,54,17,0,0,0
19,45,59,17,0,0,0
20,45,71,22,0,0,0
21,66,84,10,0,0,0
22,11,35,25,0,0,0
23,81,46,16,0,0,0
24,85,10,7,0,0,0
25,75,20,21,0,0,0
26,15,21,11,0,0,0
27,90,45,21,0,0,0
28,15,0,11,0,0,0
29,31,26,21,0,0,0
30,10,95,22,0,0,0
31,6,6,25,0,0,0
32,51,5,2,0,0,0
33,26,36,22,0,0,0
