id,x,y,d,st,et,mt
1,61,5,0,0,0,0
2,85,53,24,0,0,0
3,17,57,9,0,0,0
4,49,93,15,0,0,0
5,69,11,17,0,0,0
6,87,15,2,0,0,0
7,49,39,19,0,0,0
8,87,23,10,0,0,0
9,19,83,17,0,0,0
10,69,87,20,0,0,0
11,69,43,16,0,0,0
12,49,67,8,0,0,0
13,17,61,12,0,0,0
14,45,61,3,0,0,0
15,21,53,23,0,0,0
16,71,37,4,0,0,0
17,53,23,23,0,0,0
18,77,63,20,0,0,0
19,89,7,2,0,0,0
20,21,83,19,0,0,0
21,77,25,2,0,0,0
22,85,95,23,0,0,0
23,43,93,23,0,0,0
24,75,25,5,0,0,0
25,1,43,12,0,0,0
26,7,7,15,0,0,0
27,81,69,9,0,0,0
28,23,57,13,0,0,0
29,81,15,18,0,0,0
30,77,35,16,0,0,0
31,49,3,7,0,0,0
32,21,93,6,0,0,0
33,41,37,2,0,0,0
34,71,91,8,0,0,0
35,31,13,2,0,0,0
36,69,33,2,0,0,0
37,91,47,4,0,0,0
38,13,69,13,0,0,0
39,65,75,18,0,0,0
40,91,27,9,0,0,0
41,9,85,19,0,0,0
42,15,19,3,0,0,0
43,7,37,14,0,0,0
44,61,11,19,0,0,0
45,59,83,21,0,0,0
46,85,69,4,0,0,0
47,15,29,6,0,0,0
48,1,13,22,0,0,0
49,1,83,13,0,0,0
50,85,31,10,0,0,0
51,95,25,18,0,0,0
52,5,33,5,0,0,0
53,51,11,9,0,0,0
54,51,85,36,0,0,0
